thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
         1,         1,       100,     10000,  0.069493,    1.1512,  0.026331,   1.51912,   2.39518,   1.58144,  0.660261,  0.634862
         1,         1,       200,     40000,  0.111958,   2.85821,  0.036318,   4.40553,   20.1008,   6.93431,  0.344977,  0.342451
         1,         1,       300,     90000,  0.149114,   4.82852,  0.068026,   5.29209,   67.7209,   23.1432,  0.341744,  0.340652
         1,         1,       400,    160000,  0.252551,   5.06828,  0.125717,    5.0908,   160.367,   55.0733,   0.34342,  0.342612
         1,         1,       500,    250000,  0.358292,   5.58204,  0.165945,   6.02609,   318.506,   108.411,  0.340374,  0.339815
         1,         1,       600,    360000,  0.505589,   5.69633,  0.249617,   5.76884,   556.542,   180.207,  0.323798,  0.323359
         1,         1,       700,    490000,   0.67405,   5.81559,  0.313383,   6.25433,   894.007,   279.934,  0.313122,  0.312777
         1,         1,       800,    640000,  0.876804,   5.83939,  0.417728,   6.12839,   1622.67,    419.73,  0.258666,   0.25846
         1,         1,       900,    810000,   1.10141,   5.88334,  0.519978,   6.23103,   1914.14,   598.637,  0.312745,  0.312481
         1,         1,      1000,   1000000,   1.35466,   5.90553,  0.634378,   6.30539,   2621.31,   823.369,  0.314106,  0.313868
         2,         4,       100,     10000,  0.041137,   1.94472,  0.016692,   2.39636,   0.66085,  0.868073,   1.31357,   1.20787
         2,         4,       200,     40000,  0.108885,   2.93888,  0.044001,   3.63628,   5.35713,   8.74372,   1.63216,   1.58688
         2,         4,       300,     90000,  0.148415,   4.85126,  0.067957,   5.29747,   17.7969,   23.2993,   1.30917,   1.29345
         2,         4,       400,    160000,  0.237534,    5.3887,  0.109582,   5.84038,   42.1302,   54.8975,   1.30304,   1.29239
         2,         4,       500,    250000,  0.357383,   5.59624,  0.173838,   5.75248,   83.8137,   107.898,   1.28735,   1.27925
         2,         4,       600,    360000,  0.504403,   5.70972,  0.232436,   6.19525,   152.437,    186.22,   1.22162,   1.21574
         2,         4,       700,    490000,  0.675866,   5.79997,  0.311218,   6.29784,   234.677,    289.18,   1.23224,   1.22708
         2,         4,       800,    640000,   0.87387,     5.859,  0.417868,   6.12634,   426.905,   420.938,  0.986023,  0.983049
         2,         4,       900,    810000,   1.10337,   5.87291,  0.512503,   6.32191,    528.43,   598.064,   1.13177,   1.12832
         2,         4,      1000,   1000000,   1.35236,   5.91558,  0.626975,   6.37984,   724.719,   820.941,   1.13277,   1.12969
         3,         9,       100,     10000,  0.069424,   1.15234,  0.032198,   1.24231,  0.397195,    2.6663,   6.71283,   5.34525
         3,         9,       200,     40000,  0.082344,   3.88614,  0.034711,   4.60949,   2.54904,   6.92362,   2.71617,   2.59691
