packageSizes	blocking_one_node	non_blocking_one_node	blocking_flood_two_nodes	non_blocking_two_nodes
800.0	532623169.10785621	241400120.70006037	258114473.76911661	200924251.55716294
857.0	8983228511.5303993	4493969585.7367592	4493969585.7367592	2765408196.1923203
918.0	9622641509.4339638	9622641509.4339638	9622641509.4339638	9622641509.4339638
984.0	10314465408.805033	10314465408.805033	10314465408.805033	8255033557.0469799
1054.0	8842281879.1946316	559596495.88531983	8842281879.1946316	257023019.89855638
1130.0	11844863731.656185	inf	11844863731.656185	11844863731.656185
1210.0	12683438155.136269	10151006711.409397	12683438155.136269	6345044572.6271629
1297.0	13595387840.67086	13595387840.67086	10880872483.221478	10880872483.221478
1390.0	105236061.90000303	75519262.845065981	77631079.239550531	35462802.326768033
1489.0	15607966457.023062	12491610738.255033	15607966457.023062	6938490214.3522835
1596.0	16729559748.427673	16729559748.427673	inf	16729559748.427673
1710.0	14345637583.892618	17924528301.886795	17924528301.886795	14345637583.892618
1832.0	19203354297.69392	15369127516.778524	19203354297.69392	8536812674.7437096
1963.0	20576519916.142559	20576519916.142559	20576519916.142559	10293654955.427372
2104.0	22054507337.526207	22054507337.526207	22054507337.526207	22054507337.526207
2254.0	23626834381.551365	23626834381.551365	18909395973.154362	10503261882.572227
2415.0	25314465408.805035	25314465408.805035	25314465408.805035	25314465408.805035
2588.0	9045788185.9489689	6385393535.6526031	8351080993.8689899	3743129881.4000583
2773.0	23263422818.791946	29067085953.87841	29067085953.87841	29067085953.87841
2972.0	31153039832.285118	24932885906.040268	31153039832.285118	15584687991.609858
3184.0	33375262054.507339	33375262054.507339	33375262054.507339	16696381751.442055
3412.0	28624161073.825504	28624161073.825504	35765199161.425575	17891976927.110645
3656.0	38322851153.039833	38322851153.039833	38322851153.039833	19171473518.615627
3918.0	41069182389.937111	32869127516.778526	41069182389.937111	20545359202.93655
4198.0	3827847177.8973284	7043624161.0738258	3827847177.8973284	4192131016.5767922
4498.0	14514359470.797031	47148846960.167717	15721775602.936037	23586785527.005768
4820.0	22460391425.908669	50524109014.675056	50524109014.675056	25275301520.713161
5165.0	24068033550.792171	54140461215.932915	24068033550.792171	27084425799.685368
5534.0	29019402202.412163	inf	29019402202.412163	25787511649.580616
5930.0	11843419213.101658	27632805219.012115	14631137429.06489	19135204904.808002
6354.0	22209017825.934986	66603773584.905663	29608574091.33271	33319349764.027267
6809.0	17847968545.216251	71373165618.448639	21971603743.142952	31728797763.280521
7296.0	25501572876.616566	76477987421.383652	12241610738.255033	33998136067.101585
7817.0	20490170380.078636	81939203354.297699	20490170380.078636	25224265892.223297
8377.0	14055369127.516779	39035414725.069901	10646924250.127096	27031300419.490158
8976.0	17926902336.72858	47068694284.216042	17926902336.72858	31373645578.469067
9618.0	23730569948.186527	44818266542.404472	23730569948.186527	31035818005.808327
10305.0	20581186339.125225	54037755637.126373	20581186339.125225	33252662149.080349
11043.0	22055122828.040741	115754716981.13208	22055122828.040741	57907708442.579964
11832.0	29193190229.45966	99261744966.442963	29193190229.45966	38180058083.252663
12679.0	21273489932.885906	132903563941.2998	21273489932.885906	40913197805.74379
13585.0	19648539195.834541	63303821062.44175	19648539195.834541	43836721523.07196
14557.0	29073297383.662868	76334556895.647614	23482819809.646717	50880810905.277878
15598.0	26171140939.597317	81793392763.502884	22560023141.452129	54519398811.604332
16714.0	23366419684.048653	77884436160.298233	23366419684.048653	58420132820.692062
17909.0	17883962452.566406	187725366876.31027	16329898787.270903	57789609551.468216
19190.0	27755279143.766273	160989932885.90604	27755279143.766273	89422180801.49115
20563.0	20534252047.13401	215545073375.26205	25367628916.851715	66353662471.765091
22033.0	18482509856.555656	115537493445.20189	18482509856.555656	115537493445.20189
23609.0	16783251581.716072	47151987217.894943	18004270571.188896	30006354855.109303
25298.0	23067383970.092094	132658626114.31567	22575406032.482601	88423628102.06221
27107.0	21053980582.524273	126314072693.38304	15159666685.308428	94746592100.664108
29046.0	19338215712.383488	135349487418.45293	19338215712.383488	93727008712.4879
31123.0	17405626083.552372	163203985317.25223	18385515122.873348	108783642083.1877
33349.0	22203062583.22237	155400745573.15936	22203062583.22237	116564138413.14226
35734.0	21109404536.862003	187383324593.60251	19720750551.876381	124900384480.95071
38290.0	23970201577.563541	200786575773.46616	23970201577.563541	123555985801.87158
41028.0	20486343436.360912	215144205558.46878	20486343436.360912	143404404054.5264
43963.0	14751694517.146502	204860205032.61884	12985674198.788952	153663054875.91751
47107.0	23521745643.381435	247021499737.80807	23521745643.381435	152007099064.21426
50476.0	21825571842.435249	176427822439.70639	22053477804.963299	162878347854.14651
54086.0	23386517922.774246	283618248557.9444	23630723523.243622	174527266860.27753
57954.0	21511450948.368656	486191275167.78528	23372318115.825134	187008712487.89932
62099.0	26046053183.457764	200383994837.04422	23895259350.469448	217053477804.96329
66541.0	22150061582.50391	348930256948.086	22150061582.50391	214717650855.11456
71300.0	24512668889.882076	373885684320.92291	24512668889.882076	249213561691.71619
76399.0	23053409776.704887	267036001398.11255	23735980364.74353	267036001398.11255
81863.0	19508841332.634289	429276350288.41107	19075614586.974251	201981248457.9324
87718.0	26660385386.90657	51818289224.952744	25728280635.889015	21390460397.97113
93991.0	24793848426.495029	985230607966.45703	25433906102.015965	303294611164.89191
100714.0	25757397509.015114	469310344827.58618	27253145717.764851	352023767913.31702
107917.0	25007415303.332253	502875116495.80615	25717792288.260811	377200279622.50958
115635.0	20995914661.824783	8754656127.9185963	21460386392.739826	2979170155.4831314
123905.0	26380727303.696136	1298794549266.2476	25855556946.705063	399822523394.64343
